Tiempo de ejecucion total: 3.45872e+008 ns
Nodo_Origen;Nodo_Destino;Peso_Del_Camino
1;1;0
2;2;0
3;3;0
4;3;-303.03
4;4;0
5;2;-120.482
5;5;0
6;2;-92.5926
6;6;0
7;3;-447.958
7;4;-144.928
7;7;0
8;3;-151.515
8;8;0
9;9;0
10;3;-371.058
10;4;-68.0272
10;9;-52.0833
10;10;0
11;2;-48.7805
11;3;-421.786
11;8;-270.27
11;11;0
12;2;-119.702
12;3;-492.707
12;8;-341.192
12;11;-70.922
12;12;0
13;2;-414.599
13;5;-294.118
13;13;0
14;2;-443.418
14;5;-322.936
14;13;-28.8184
14;14;0
15;15;0
16;2;-483.904
16;5;-363.422
16;13;-69.3043
16;14;-40.4858
16;16;0
17;17;0
18;2;-454.922
18;5;-334.44
18;13;-40.3226
18;15;-100
18;18;0
19;2;-461.084
19;5;-340.602
19;13;-46.484
19;15;-106.161
19;18;-6.16143
19;19;0
20;2;-513.715
20;5;-393.233
20;13;-99.1156
20;15;-158.793
20;18;-58.793
20;19;-52.6316
20;20;0
21;21;0
22;22;0
23;2;-518.506
23;5;-398.024
23;13;-103.906
23;14;-75.0879
23;16;-34.6021
23;21;-97.0874
23;22;-97.0874
23;23;0
24;22;-41.6667
24;24;0
25;25;0
26;26;0
27;27;0
28;26;-63.6943
28;28;0
29;26;-63.2911
29;29;0
30;30;0
31;30;-6.60066
31;31;0
32;30;-118.96
32;31;-112.36
32;32;0
33;30;-10.7024
33;31;-4.10172
33;33;0
34;34;0
35;35;0
36;30;-152.294
36;31;-145.693
36;32;-33.3333
36;34;-113.636
36;36;0
37;37;0
38;38;0
39;37;-32.6797
39;38;-90.0901
39;39;0
40;40;0
41;37;-48.3537
41;38;-105.764
41;39;-15.674
41;40;-25
41;41;0
42;37;-65.0204
42;38;-122.431
42;39;-32.3406
42;40;-41.6667
42;41;-16.6667
42;42;0
43;43;0
44;26;-106.798
44;27;-44.2478
44;28;-43.1035
44;29;-22.6244
44;44;0
45;45;0
46;45;-20.284
46;46;0
47;26;-190.831
47;27;-128.281
47;28;-127.137
47;29;-106.658
47;30;-169.492
47;35;-63.2911
47;44;-84.0336
47;45;-52.7515
47;46;-32.4675
47;47;0
48;34;-79.3651
48;35;-169.492
48;45;-43.9246
48;46;-23.6407
48;48;0
49;25;-70.4225
49;49;0
50;25;-122.236
50;45;-149.254
50;49;-51.8135
50;50;0
51;25;-151.476
51;45;-178.493
51;49;-81.0532
51;50;-29.2398
51;51;0
52;25;-156.25
52;45;-117.647
52;52;0
53;30;-123.062
53;31;-116.461
53;33;-112.36
53;45;-74.338
53;46;-54.054
53;53;0
54;2;-2513.72
54;5;-2393.23
54;13;-2099.12
54;15;-2158.79
54;18;-2058.79
54;19;-2052.63
54;20;-2000
54;54;0
55;2;-2592.46
55;5;-2471.97
55;13;-2177.86
55;15;-2237.53
55;18;-2137.53
55;19;-2131.37
55;20;-2078.74
55;54;-78.7402
55;55;0
56;2;-2697.72
56;5;-2577.24
56;13;-2283.12
56;15;-2342.8
56;18;-2242.8
56;19;-2236.63
56;20;-2184
56;54;-184.003
56;55;-105.263
56;56;0
57;57;0
58;58;0
59;37;-228.758
59;38;-286.168
59;39;-196.078
59;59;0
60;37;-478.758
60;38;-536.168
60;39;-446.078
60;59;-250
60;60;0
61;57;-93.4579
61;61;0
62;37;-756.536
62;38;-813.946
62;39;-723.856
62;57;-105.263
62;58;-20.6612
62;59;-527.778
62;60;-277.778
62;62;0
63;63;0
64;64;0
65;63;-71.4286
65;64;-274.024
65;65;0
66;63;-129.232
66;64;-331.827
66;65;-57.8035
66;66;0
67;64;-92.5926
67;67;0
68;63;-135.135
68;64;-294.432
68;65;-20.4082
68;68;0
69;69;0
70;70;0
71;70;-106.383
71;71;0
72;70;-7.40192
72;72;0
73;73;0
74;74;0
75;70;-4.86855
75;75;0
76;73;-10.7066
76;76;0
77;77;0
78;78;0
79;70;-26.4668
79;75;-21.5983
79;79;0
80;80;0
81;70;-11.1817
81;75;-6.31313
81;81;0
82;74;-11.5875
82;80;-7.43494
82;82;0
83;70;-17.6291
83;75;-12.7606
83;81;-6.44745
83;83;0
84;74;-18.7662
84;80;-14.6137
84;82;-7.17875
84;84;0
85;80;-8.68056
85;85;0
86;70;-35.3795
86;75;-30.5109
86;79;-8.91266
86;81;-6.94927
86;86;0
87;80;-47.8962
87;85;-39.2157
87;87;0
88;80;-68.1392
88;85;-59.4586
88;87;-20.2429
88;88;0
89;69;-1.84128
89;80;-55.2223
89;85;-46.5417
89;87;-7.32601
89;89;0
90;74;-8.38223
90;90;0
91;69;-4.59559
91;91;0
92;70;-36.7647
92;72;-4.52489
92;92;0
93;74;-28.0286
93;90;-19.6464
93;93;0
94;70;-188.35
94;71;-81.9672
94;94;0
95;69;-2.76549
95;95;0
96;69;-19.8593
96;78;-20.202
96;80;-73.2403
96;85;-64.5597
96;87;-25.344
96;89;-18.018
96;96;0
97;70;-32.3285
97;72;-16.5563
97;74;-18.4934
97;75;-27.4599
97;79;-5.86167
97;81;-12.0309
97;83;-5.58347
97;90;-10.1112
97;97;0
98;70;-121.586
98;72;-44.843
98;75;-116.718
98;79;-95.1195
98;81;-93.1562
98;86;-86.2069
98;98;0
99;70;-240.164
99;71;-133.781
99;72;-153.539
99;75;-225.413
99;79;-203.815
99;81;-201.852
99;86;-194.902
99;94;-51.8135
99;98;-108.696
99;99;0
100;80;-101.362
100;85;-92.6812
100;87;-53.4655
100;88;-33.2226
100;100;0
101;80;-207.745
101;85;-199.064
101;87;-159.849
101;88;-139.606
101;100;-106.383
101;101;0
102;70;-21.1727
102;75;-16.3042
102;77;-3.81098
102;81;-9.99104
102;83;-3.54359
102;102;0
103;69;-19.3238
103;80;-112.976
103;85;-104.296
103;87;-65.0799
103;88;-44.837
103;89;-17.4825
103;100;-11.6144
103;103;0
104;70;-7.49064
104;73;-16.0714
104;74;-23.6419
104;76;-5.36481
104;80;-19.4894
104;82;-12.0544
104;84;-4.87567
104;104;0
105;69;-33.8453
105;78;-34.188
105;80;-87.2263
105;85;-78.5457
105;87;-39.33
105;89;-32.004
105;96;-13.986
105;105;0
106;69;-35.5579
106;78;-35.9006
106;80;-108.028
106;85;-99.3479
106;87;-60.1322
106;88;-39.8893
106;89;-33.7166
106;96;-15.6986
106;100;-6.66667
106;106;0
107;70;-162.403
107;72;-149.254
107;75;-157.534
107;79;-135.936
107;81;-133.972
107;86;-127.023
107;98;-40.8163
107;107;0
108;73;-15.4321
108;76;-3.82117
108;108;0
109;73;-18.6642
109;76;-7.05323
109;108;-3.23206
109;109;0
110;110;0
111;69;-20.2173
111;80;-113.87
111;85;-105.189
111;87;-65.9734
111;88;-45.7305
111;89;-18.376
111;100;-12.5079
111;103;-0.893495
111;111;0
112;69;-25.4013
112;80;-119.054
112;85;-110.373
112;87;-71.1574
112;88;-50.9145
112;89;-23.56
112;100;-17.6919
112;103;-6.07753
